edge_id,roi_i_107space,roi_j_107space,n_subjects,mean_delta_str,median_delta_str,sd_delta_str,t_obs,parametric_t_p_two_sided_reference,n_positive_subjects,n_negative_subjects,n_zero_subjects,cohen_dz,p_perm_t_two_sided,p_perm_t_greater_reference,p_perm_t_FWER_maxT_reference,p_perm_mean_two_sided_reference,q_BH_FDR_t_two_sided,q_BH_FDR_mean_two_sided_reference,FDR05_significant_t,FDR10_significant_t,positive_mean_delta,negative_mean_delta,FDR05_significant_positive_t,FDR05_significant_negative_t,roi_i_roi_label,roi_i_region_label,roi_j_roi_label,roi_j_region_label,network_pair,network17_pair,bootstrap_CI_low_top_edges_only,bootstrap_CI_high_top_edges_only
075__078,75,78,13,0.078854294,0.056414798,0.086725255,3.278320718,0.006600634,12,1,0,0.909242573,0.003662109,0.001831055,0.995361328,0.003662109,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_075,ROI_075,ROI_078,ROI_078,Unknown - Unknown,Unknown - Unknown,0.035720764,0.12594756
007__102,7,102,13,0.078807179,0.065628828,0.089425673,3.177424519,0.007959158,10,3,0,0.881259002,0.009033203,0.004516602,0.998779297,0.009033203,0.159627183,0.159627183,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_007,ROI_007,ROI_102,ROI_102,Unknown - Unknown,Unknown - Unknown,,
019__060,19,60,13,0.078728855,0.047560837,0.094818545,2.993727894,0.011196444,10,3,0,0.830310725,0.005371094,0.002685547,0.999755859,0.005371094,0.153155031,0.153155031,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_019,ROI_019,ROI_060,ROI_060,Unknown - Unknown,Unknown - Unknown,0.032010619,0.13063561
013__102,13,102,13,0.078712487,0.10631111,0.091042002,3.117263488,0.008899942,10,3,0,0.864573334,0.007080078,0.003540039,0.999511719,0.007080078,0.157455384,0.157455384,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_013,ROI_013,ROI_102,ROI_102,Unknown - Unknown,Unknown - Unknown,0.031365215,0.126185046
009__071,9,71,13,0.078639264,0.112108155,0.108997428,2.601326497,0.023169184,10,3,0,0.721478159,0.025878906,0.012939453,1,0.025878906,0.176782576,0.176782576,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_009,ROI_009,ROI_071,ROI_071,Unknown - Unknown,Unknown - Unknown,,
050__103,50,103,13,0.07858171,0.086390164,0.06938246,4.083602444,0.00151621,12,1,0,1.132587538,0.002197266,0.001098633,0.833496094,0.002197266,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_050,ROI_050,ROI_103,ROI_103,Unknown - Unknown,Unknown - Unknown,0.042595123,0.114548055
007__056,7,56,13,0.078578675,0.087656679,0.075913284,3.73214581,0.002862695,11,2,0,1.035111007,0.004638672,0.002319336,0.949951172,0.004638672,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_007,ROI_007,ROI_056,ROI_056,Unknown - Unknown,Unknown - Unknown,0.037925117,0.116939188
058__104,58,104,13,0.078575787,0.043329045,0.109653571,2.583673525,0.023935254,8,5,0,0.716582106,0.028564453,0.014282227,1,0.028564453,0.179419631,0.179419631,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_058,ROI_058,ROI_104,ROI_104,Unknown - Unknown,Unknown - Unknown,,
007__101,7,101,13,0.078548823,0.077252715,0.105886565,2.674671822,0.020235268,10,3,0,0.741820492,0.019287109,0.009643555,1,0.019287109,0.171437613,0.171437613,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_007,ROI_007,ROI_101,ROI_101,Unknown - Unknown,Unknown - Unknown,,
059__072,59,72,13,0.078510871,0.062830217,0.119474148,2.369340774,0.035443926,10,3,0,0.657136896,0.038330078,0.019165039,1,0.038330078,0.187511854,0.187511854,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_059,ROI_059,ROI_072,ROI_072,Unknown - Unknown,Unknown - Unknown,,
